sp_name;reason;actual_sp_name_NCBI;actual_sp_name_SILVA;comments
Acinetobacter berezinae;misspelled;Acinetobacter bereziniae;Acinetobacter bereziniae;is misspelled from the SpeciesInteractions_EID.csv pathogen file (Wardeh), but you have put both names so it's ok the sequences are there, but it would be nice to remove the bad name from the Human_patho_list and leave the correct one. 
Acinetobacter chinensis;new sp  (2019) taxonomic name not formally assigned;Acinetobacter chinensis;Acinetobacter sp. WCHAc010005;https://doi.org/10.1007/s12275-019-8485-0, https://doi.org/10.1099/ijsem.0.003624, (In the ncbi taxonomy you will find the informal name, which is the name you will find in silva.)
Xenophilus aerolata;misspelled;Xenophilus aerolatus;Xenophilus aerolatus;is misspelled from the SpeciesInteractions_EID.csv pathogen file (Wardeh)
eptoniphilus harei;misspelled;Peptoniphilus harei;Peptoniphilus harei;I guess it is Peptoniphilus harei, in the Human_patho_list the sp eptoniphilus harei is listed. But the only sp in ncbi that matches is Peptoniphilus harei. It is not on the Wareh list. 
cinetobacter venetianus;misspelled;Acinetobacter venetianus;Acinetobacter venetianus;I guess it is Acinetobacter venetianus, in the Human_patho_list the sp cinetobacter venetianus is listed. But the only sp in ncbi that matches is Acinetobacter venetianus. 
Treponema carateum;No record in silva or ncbi for this sp;;;The only information available is that it causes a disease called Pinta. Can be left on the list as a pathogenic record, but there will be no sequences in the DB. 
Tatlockia micdadei;Basionym;Legionella micdadei;Legionella pittsburghensis;In Silva L. pittsburghensis occurs with Obsolete names: DSMZ Tatlockia micdadei. And the strains agree with NCBI L. micdadei
Legionella micdadei;No record in silva;Legionella micdadei;Legionella pittsburghensis;In Silva L. pittsburghensis occurs with Obsolete names: DSMZ Tatlockia micdadei. And the strains agree with NCBI L. micdadei
Acinetobacter cumulans;No record in silva;Acinetobacter cumulans;;Can not find the species in SILVA
Acinetobacter lanii;No record in silva;Acinetobacter lanii;;Can not find the species in SILVA
Acinetobacter pseudolwoffii;new sp  (2019) taxonomic name not formally assigned;Acinetobacter pseudolwoffii;Acinetobacter sp. NIPH 713;https://doi.org/10.1099/ijsem.0.003452 (In the ncbi taxonomy you will find the informal name, which is the name you will find in silva.)
Acinetobacter shaoyimingii;No record in silva;Acinetobacter shaoyimingii;;Can not find the species in SILVA
Acinetobacter wanghuae;No record in silva;Acinetobacter wanghuae;;Can not find the species in SILVA
Actinobaculum schaalii;misspelled;Actinotignum schaalii;Actinotignum schaalii;is misspelled from Wardeh 2015
Actinomyces cardiffensis;misspelled;Schaalia cardiffensis;Schaalia cardiffensis;is misspelled from Wardeh 2015 and Blauvkamp 2019, correct name also presented in Blauvkamp 2019
Actinomyces funkei;Basionym;Schaalia funkei;Schaalia funkei;https://doi.org/10.1099/ijsem.0.003071 (In the ncbi taxonomy you will find the informal name, which is the name you will find in silva.)
Actinomyces georgiae;Basionym;Schaalia georgiae;Schaalia georgiae;https://doi.org/10.1099/ijsem.0.003452 (In the ncbi taxonomy you will find the informal name, which is the name you will find in silva.)
Actinomyces meyeri;Synonym;Schaalia meyeri;Schaalia meyeri;homotypic synonym:  Actinobacterium meyeri and Actinomyces meyeri (In the ncbi taxonomy you will find the informal name, which is the name you will find in silva.)
Actinomyces odontolyticus;Basionym;Schaalia odontolytica;Schaalia odontolytica;
Actinomyces radingae;Basionym;Schaalia radingae;Schaalia radingae;
Actinomyces timonensis;Contain more info;Actinomyces timonensis;Actinomyces timonensis DSM 23838;
Actinomyces turicensis;Basionym;Schaalia turicensis;Schaalia turicensis;
Aeromonas aquariorum;Synonym;Aeromonas dhakensis;Aeromonas dhakensis;
Afipia felis;Contain more info;Afipia felis;Afipia felis (cat scratch disease bacillus);
Agrobacterium rhizogenes;Synonym;Rhizobium rhizogenes;Rhizobium rhizogenes;
Agrobacterium vitis;Contain more info;Agrobacterium vitis;Agrobacterium vitis pv. Musae;
Arachnia propionica;Synonym;Arachnia propionica;Pseudopropionibacterium propionicum;
Arcanobacterium bernardiae;Synonym;Trueperella bernardiae;Trueperella bernardiae;
Arcanobacterium pyogenes;Synonym;Trueperella pyogenes;Trueperella pyogenes;
Arthrobacter creatinolyticus;Basionym;Glutamicibacter creatinolyticus;Glutamicibacter creatinolyticus;
Arthrobacter mysorens;Basionym;Glutamicibacter mysorens;Glutamicibacter mysorens;
Asaia lannaensis;misspelled;Asaia lannensis;Asaia lannensis;
Atopobium parvulum;Synonym;Lancefieldella parvula;Lancefieldella parvula;
Atopobium rimae;Synonym;Lancefieldella rimae;Lancefieldella rimae;
Atopobium vaginae;Basionym;Fannyhessea vaginae;Fannyhessea vaginae;
Aurantimonas altamirensis;Basionym;Aureimonas altamirensis;Aureimonas altamirensis;
Bacillus mojavensis;Contain more info;Bacillus mojavensis;Bacillus mojavensis RO-H-1 = KCTC 3706;
Bacteroides heparinolyticus;Contain more info;Bacteroides heparinolyticus;Bacteroides heparinolyticus ATCC 35895;
Bacteroides ureolyticus;Synonym;Campylobacter ureolyticus;Campylobacter ureolyticus;
Bartonella washoensis;Contain more info;Candidatus Bartonella washoeensis;Bartonella washoensis Sb944nv;
;;;Bartonella washoensis 085-0475;
Bifidobacterium kashiwanohense;Basionym;Bifidobacterium catenulatum subsp. Kashiwanohense;Bifidobacterium catenulatum subsp. kashiwanohense;
Borrelia andersonii;Synonym;Borreliella andersonii;Borreliella andersonii;
Borrelia bissettii;No record in silva;Borreliella bissettiae;;
Borrelia burgdorferi;Synonym and contain more info;Borreliella burgdorferi;Borrelia burgdorferi;
;;;Borreliella burgdorferi (Lyme disease spirochete);
Borreliella afzelii;Both basionym and contain more info;Borreliella afzelii;Borreliella afzelii;
;;;Borrelia afzelii;
Borreliella burgdorferi;Synonym and contain more info;Borreliella burgdorferi;Borreliella burgdorferi;
;;;Borrelia burgdorferi;
Borreliella garinii;Both basionym and contain more info;Borreliella garinii;Borreliella garinii;
;;;Borrelia garinii;
Borreliella mayonii;Synonym;Borreliella mayonii;Borrelia mayonii;
Borreliella valaisiana;Basionym;Borreliella valaisiana;Borrelia valaisiana;
;;;Borreliella valaisiana;
Brucella anthropi;Basionym;Brucella anthropi;Ochrobactrum anthropi;
Brucella inopinata;Contain more info;Brucella inopinata;Brucella inopinata BO1;
Brucella intermedia;Basionym;Brucella intermedia;Ochrobactrum intermedium;
Brucella neotomae;Contain more info;Brucella neotomae;Brucella neotomae 5K33;
Brucella oryzae;Basionym;Brucella oryzae;Ochrobactrum oryzae;
Brucella ovis;Contain more info;Brucella ovis;Brucella ovis ATCC 25840;
Brucella pituitosa;Basionym;Brucella pituitosa;Ochrobactrum pituitosum;
Brucella pseudogrignonensis;Basionym;Brucella pseudogrignonensis;Ochrobactrum pseudogrignonense;
Brucella suis;Both synonym and contain more info;Brucella suis;Brucella melitensis;
;;;Brucella suis 1330;Brucella suis contains many strains
;;;Brucella suis F9/06-1;
Burkholderia endofungorum;Basionym;Mycetohabitans endofungorum;Mycetohabitans endofungorum;
Burkholderia fungorum;Basionym;Paraburkholderia fungorum;Paraburkholderia fungorum;
Burkholderia rhizoxinica;Basionym;Mycetohabitans rhizoxinica;Mycetohabitans rhizoxinica;
Burkholderia tropica;Basionym;Paraburkholderia tropica;Paraburkholderia tropica;
Chlamydophila abortus;Basionym;Chlamydia abortus;Chlamydia abortus;
Chlamydophila felis;Basionym;Chlamydia felis;Chlamydia felis;
Chlamydophila pneumoniae;Basionym;Chlamydia pneumoniae;Chlamydia pneumoniae;
Chlamydophila psittaci;Basionym;Chlamydia psittaci;Chlamydia psittaci;
Christensenella hongkongensis;Basionym;Christensenella hongkongensis;Catabacter hongkongensis;
Citrobacter arsenatis;No record in silva;Citrobacter arsenatis;;
Citrobacter telavivensis;No record in silva;Citrobacter telavivensis;;
Citrobacter tructae;No record in silva;Citrobacter tructae;;
Clostridium celerecrescens;misspelled;Lacrimispora celerecrescens;[Clostridium] celerecrescens;awaits appropriate action by the research community to be transferred to another genus.
Clostridium clostridioforme;misspelled;Enterocloster clostridioformis;[Clostridium] clostridioforme;
Clostridium difficile;Synonym;Clostridioides difficile;Clostridioides difficile;
Clostridium hiranonis;misspelled;Peptacetobacter hiranonis;[Clostridium] hiranonis;
Clostridium histolyticum;Synonym;Hathewaya histolytica;Hathewaya histolytica;
Clostridium hylemonae;misspelled;[Clostridium] hylemonae;[Clostridium] hylemonae;awaits appropriate action by the research community to be transferred to another genus.
Clostridium innocuum;misspelled;[Clostridium] innocuum;[Clostridium] innocuum;awaits appropriate action by the research community to be transferred to another genus.
Clostridium ramosum;Synonym;Thomasclavelia ramosa;Erysipelatoclostridium ramosum;
Clostridium sordellii;Synonym;Paraclostridium sordellii;Paeniclostridium sordellii;
Corynebacterium gerontici;misspelled;Corynebacterium gerontici;Corynebacterium geronticis;
Corynebacterium marinum;Contain more info;Corynebacterium marinum;Corynebacterium marinum DSM 44953;
Corynebacterium maris;Contain more info;Corynebacterium maris;Corynebacterium maris DSM 45190;
Coxiella endosymbiont;misspelled;Coxiella-like endosymbiont;Coxiella-like endosymbiont;
Cronobacter condimenti;Contain more info;Cronobacter condimenti;Cronobacter condimenti 1330;
Empedobacter falsenii;Contain more info;Empedobacter falsenii;Empedobacter falsenii genomovar 1;
;;;Empedobacter falsenii genomovar 2;
Enterobacter aerogenes;Basionym;Klebsiella aerogenes;Klebsiella aerogenes;
Enterobacter amnigenus;Basionym;Lelliottia amnigena;Lelliottia amnigena;
Enterocloster clostridioformis;No record in silva;Enterocloster clostridioformis;;
Enterococcus sanguinicola;Synonym;Enterococcus thailandicus;Enterococcus thailandicus;
Epichloe festucae;Contain more info;Epichloe festucae;Epichloe festucae Fl1;this is an Eukaryota, why is here?
;;;Epichloe festucae var. lolii;
Eubacterium biforme;Synonym;Holdemanella biformis;Holdemanella biformis;
Eubacterium brachy;misspelled;[Eubacterium] brachy;[Eubacterium] brachy;awaits appropriate action by the research community to be transferred to another genus.
Eubacterium cylindroides;Synonym;Faecalitalea cylindroides;Faecalitalea cylindroides;
Eubacterium hallii;Synonym;Anaerobutyricum hallii;[Eubacterium] hallii;
Eubacterium infirmum;misspelled;[Eubacterium] infirmum;[Eubacterium] infirmum;awaits appropriate action by the research community to be transferred to another genus.
Eubacterium minutum;misspelled;[Eubacterium] minutum;[Eubacterium] minutum;awaits appropriate action by the research community to be transferred to another genus.
Eubacterium nodatum;misspelled;[Eubacterium] nodatum;[Eubacterium] nodatum;awaits appropriate action by the research community to be transferred to another genus.
Eubacterium rectale;No record in silva;Agathobacter rectalis;;
Eubacterium saburreum;Synonym;Lachnoanaerobaculum saburreum;Lachnoanaerobaculum saburreum;
Eubacterium saphenum;misspelled;[Eubacterium] saphenum;[Eubacterium] saphenum;awaits appropriate action by the research community to be transferred to another genus.
Eubacterium sulci;No record in silva;[Eubacterium] sulci;Eubacterium sulci ATCC 35585;
Eubacterium yurii;No record in silva;[Eubacterium] yurii;[Eubacterium] yurii subsp. Yurii;
Fluoribacter dumoffii;Basionym;Fluoribacter dumoffii;Legionella dumoffii;
Fusobacterium hwasookii;Contain more info;Fusobacterium hwasookii;Fusobacterium hwasookii ChDC F174;Contains many strains
;;;Fusobacterium hwasookii ChDC F206;
Haemophilus ducreyi;misspelled;[Haemophilus] ducreyi;[Haemophilus] ducreyi;awaits appropriate action by the research community to be transferred to another genus.
Lactobacillus catenaformis;Contain more info;Eggerthia catenaformis;Eggerthia catenaformis;Contains many strains
;;;Eggerthia catenaformis OT 569 = DSM 20559;
Legionella drozanskii;Contain more info;Legionella drozanskii;Legionella drozanskii LLAP-1;
Legionella fallonii;Contain more info;Legionella fallonii;Legionella fallonii LLAP-10;
Leptospira terpstrae;Contain more info;Leptospira terpstrae;Leptospira terpstrae serovar Hualin;
Leptospira vanthielii;Contain more info;Leptospira vanthielii;Leptospira vanthielii serovar Holland;
Leuconostoc gasicomitatum;Synonym;Leuconostoc gasicomitatum;Leuconostoc gelidum subsp. gasicomitatum;
Methylobacterium rhodesianum;Synonym;Methylorubrum rhodesianum;Methylorubrum rhodesianum;
Mycobacterium basiliense;No record in silva;Mycobacterium basiliense;;
Mycobacterium bolletii;Basionym;Mycobacteroides abscessus subsp. Bolletii;Mycobacteroides abscessus subsp. Bolletii;
Mycobacterium canettii;Contain more info;Mycobacterium canettii;Mycobacterium canettii CIPT 140070013;
Mycobacterium chimaera;Basionym;Mycobacterium intracellulare subsp. Chimaera;Mycobacterium intracellulare subsp. chimaera;
Mycobacterium goodii;Basionym;Mycolicibacterium goodii;Mycolicibacterium goodii;
Mycobacterium microti;Synonym;Mycobacterium tuberculosis variant microti;Mycobacterium tuberculosis variant microti;
Mycobacteroides chelonae;Contain more info;Mycobacteroides chelonae;Mycobacteroides chelonae CCUG 47445;
Mycobacteroides franklinii;Synonym;Mycobacteroides franklinii;Mycobacterium franklinii;
Mycobacteroides immunogenum;Synonym;Mycobacteroides immunogenum;Mycobacterium immunogenum;
Mycobacteroides saopaulense;Basionym;Mycobacteroides saopaulense;Mycobacterium saopaulense;
Mycolicibacillus koreensis;Basionym;Mycolicibacillus koreensis;Mycobacterium koreense;
Mycolicibacter arupensis;Basionym;Mycolicibacter arupensis;Mycobacterium arupense;
Mycolicibacter heraklionensis;Basionym;Mycolicibacter heraklionensis;Mycobacterium heraklionense;
Mycolicibacter kumamotonensis;Basionym;Mycolicibacter kumamotonensis;Mycobacterium kumamotonense;
Mycolicibacterium aurum;Synonym;Mycolicibacterium aurum;Mycobacterium aurum;
Mycolicibacterium brisbanense;Synonym;Mycolicibacterium brisbanense;Mycobacterium brisbanense;
Mycolicibacterium canariasense;Synonym;Mycolicibacterium canariasense;Mycobacterium canariasense;
Mycolicibacterium chlorophenolicum;Synonym;Mycolicibacterium chlorophenolicum;Mycobacterium chlorophenolicum;
Mycolicibacterium chubuense;Both synonym and contain more info;Mycolicibacterium chubuense;Mycolicibacterium chubuense NBB4;
;;;Mycobacterium chubuense;
Mycolicibacterium conceptionense;Basionym;Mycolicibacterium conceptionense;Mycobacterium conceptionense;
Mycolicibacterium cosmeticum;Basionym;Mycolicibacterium cosmeticum;Mycobacterium cosmeticum;
Mycolicibacterium diernhoferi;Basionym;Mycolicibacterium diernhoferi;Mycobacterium diernhoferi;
Mycolicibacterium elephantis;Basionym;Mycolicibacterium elephantis;Mycobacterium elephantis;
Mycolicibacterium flavescens;Basionym;Mycolicibacterium flavescens;Mycobacterium flavescens;
Mycolicibacterium gilvum;Basionym;Mycolicibacterium gilvum;Mycobacterium gilvum;
Mycolicibacterium hassiacum;Both synonym and contain more info;Mycolicibacterium hassiacum;Mycolicibacterium hassiacum DSM 44199;
;;;Mycobacterium hassiacum DSM 44199;
Mycolicibacterium holsaticum;Basionym;Mycolicibacterium holsaticum;Mycobacterium holsaticum;
Mycolicibacterium iranicum;Basionym;Mycolicibacterium iranicum;Mycobacterium iranicum;
Mycolicibacterium llatzerense;Basionym;Mycolicibacterium llatzerense;Mycobacterium llatzerense;
Mycolicibacterium mageritense;Basionym;Mycolicibacterium mageritense;Mycobacterium mageritense;
Mycolicibacterium mucogenicum;Basionym;Mycolicibacterium mucogenicum;Mycobacterium mucogenicum;
Mycolicibacterium neoaurum;Basionym;Mycolicibacterium neoaurum;Mycobacterium neoaurum;
Mycolicibacterium novocastrense;Basionym;Mycolicibacterium novocastrense;Mycobacterium novocastrense;
Mycolicibacterium obuense;Basionym;Mycolicibacterium obuense;Mycobacterium obuense;
Mycolicibacterium peregrinum;Basionym;Mycolicibacterium peregrinum;Mycobacterium peregrinum;
Mycolicibacterium phlei;Synonym;Mycolicibacterium phlei;Mycobacterium phlei;
Mycolicibacterium rhodesiae;Both basionym and contain more info;Mycolicibacterium rhodesiae;Mycolicibacterium rhodesiae NBB3;
;;;Mycobacterium rhodesiae;
Mycolicibacterium septicum;Synonym;Mycolicibacterium septicum;Mycobacterium septicum;
Mycolicibacterium setense;basionym;Mycolicibacterium setense;Mycobacterium setense;
Mycolicibacterium smegmatis;Both synonym and contain more info;Mycolicibacterium smegmatis;Mycolicibacterium smegmatis MC2 155;Contains many strains
;;;Mycolicibacterium smegmatis MKD8;
;;;Mycobacterium smegmatis;
;;;Mycobacterium smegmatis MC2 51;
Mycolicibacterium thermoresistibile;Basionym;Mycolicibacterium thermoresistibile;Mycobacterium thermoresistibile;
;;;Mycobacterium thermoresistibile ATCC 19527;
Mycolicibacterium tusciae;Basionym;Mycolicibacterium tusciae;Mycobacterium tusciae;
;;;Mycobacterium tusciae JS617;
Mycolicibacterium vaccae;Both basionym and contain more info;Mycolicibacterium vaccae;Mycolicibacterium vaccae 95051;
;;;Mycobacterium vaccae;
;;;Mycobacterium vaccae ATCC 25954;
;;;Mycobacterium vaccae NBRC 14118 = CIP 105934;
Mycolicibacterium vanbaalenii;Both basionym and contain more info;Mycolicibacterium vanbaalenii;Mycolicibacterium vanbaalenii PYR-1;
;;;Mycobacterium vanbaalenii;
Mycolicibacterium wolinskyi;basionym;Mycolicibacterium wolinskyi;Mycobacterium wolinskyi;
Mycoplasma arginini;Synonym;Mycoplasmopsis arginini;Mycoplasmopsis arginini;
Mycoplasma buccale;basionym;Metamycoplasma buccale;Metamycoplasma buccale;
Mycoplasma faucium;basionym;Metamycoplasma faucium;Metamycoplasma faucium;
Mycoplasma fermentans;Both basionym and contain more info;Mycoplasmopsis fermentans;Mycoplasmopsis fermentans;
;;;Mycoplasma fermentans PG18;
Mycoplasma genitalium;Both basionym and contain more info;Mycoplasmoides genitalium;Mycoplasmoides genitalium;
;;;Mycoplasma genitalium M2321;
;;;Mycoplasma genitalium M6320;
;;;Mycoplasma genitalium M6282;
;;;Mycoplasma genitalium M2288;
;;;Mycoplasma genitalium G37;
;;;synthetic Mycoplasma genitalium JCVI-1.0;
Mycoplasma hominis;Both synonym and contain more info;Metamycoplasma hominis ;Metamycoplasma hominis ;
;;;Mycoplasma hominis ATCC 23114;
;;;Mycoplasma hominis ATCC 27545;
Mycoplasma penetrans;Both basionym and contain more info;Malacoplasma penetrans;Malacoplasma penetrans;
;;;Mycoplasma penetrans HF-2;
Mycoplasma pneumoniae;Both basionym and contain more info;Mycoplasmoides pneumoniae;Mycoplasmoides pneumoniae;
;;;Mycoplasma pneumoniae 309;
;;;Mycoplasma pneumoniae M129;
;;;Mycoplasma pneumoniae FH;
;;;Mycoplasma pneumoniae M129-B7;
;;;Mycoplasma pneumoniae M29;
;;;Mycoplasma pneumoniae PO1;
;;;Mycoplasma pneumoniae 51494;
;;;Mycoplasma pneumoniae MAC;
;;;Mycoplasma pneumoniae 54089;
;;;Mycoplasma pneumoniae 39443;
;;;Mycoplasma pneumoniae 54524;
;;;Mycoplasma pneumoniae 85084;
;;;Mycoplasma pneumoniae 85138;
;;;Mycoplasma pneumoniae PI 1428;
;;;Mycoplasma pneumoniae M1139;
;;;Mycoplasma pneumoniae M2592;
;;;Mycoplasma pneumoniae 19294;
Mycoplasma primatum;Both basionym and contain more info;Mycoplasmopsis primatum;Mycoplasmopsis primatum;
;;;Mycoplasma primatum ATCC 25948;
Mycoplasma salivarium;Both basionym and contain more info;Metamycoplasma salivarium;Metamycoplasma salivarium;
;;;Mycoplasma salivarium ATCC 23064;
Nocardia violaceofusca;Contain more info;Nocardia violaceofusca;Nocardia violaceofusca NBRC 14427;
Oscillibacter ruminantium;Contain more info;Oscillibacter ruminantium;Oscillibacter ruminantium GH1;
Paraclostridium sordellii;Both synonym and contain more info;Paraclostridium sordellii;Paeniclostridium sordellii ATCC 9714;
;;;Paeniclostridium sordellii;
Pasteurella pneumotropica;Synonym;Rodentibacter pneumotropicus;Rodentibacter pneumotropicus;
Peptoniphilus rhinitidis;Contain more info;Peptoniphilus rhinitidis;Peptoniphilus rhinitidis 1-13;
Peptoniphilus senegalensis;Contain more info;Peptoniphilus senegalensis;Peptoniphilus senegalensis JC140;
Prevotella;misspelled;Prevotella;;Missing species name
Prevotella tannerae;Both basionym and contain more info;Alloprevotella tannerae;Alloprevotella tannerae ATCC 51259;
;;;Alloprevotella tannerae;
Propionibacterium acidipropionici;Both synonym and contain more info;Acidipropionibacterium acidipropionici;Acidipropionibacterium acidipropionici;
;;;Acidipropionibacterium acidipropionici ATCC 4875;
Propionibacterium acnes;Both synonym and contain more info;Cutibacterium acnes;Cutibacterium acnes KPA171202;
;;;Cutibacterium acnes;
;;;Cutibacterium acnes SK137;
;;;Propionibacterium acnes HL025PA1;
;;;Propionibacterium acnes HL030PA1;
Propionibacterium avidum;Both synonym and contain more info;Cutibacterium avidum;Cutibacterium avidum ATCC 25577;
;;;Cutibacterium avidum;
;;;Cutibacterium avidum TM16;
;;;Cutibacterium avidum 44067;
Propionibacterium granulosum;Both synonym and contain more info;Cutibacterium granulosum;Cutibacterium granulosum;
;;;Cutibacterium granulosum DSM 20700;
;;;Cutibacterium granulosum TM11;
;;;Propionibacterium granulosum DSM 20700;
Propionibacterium propionicum;synonym;Arachnia propionica;Propionibacterium propionicum NBRC 14587;
Propionimicrobium lymphophilum;Both synonym and contain more info;Propionimicrobium lymphophilum;Propionimicrobium lymphophilum DSM 4903;
;;;Propionimicrobium lymphophilum ACS-093-V-SCH5;
;;;Propionibacterium lymphophilum;
Pseudomonas allokribbensis;No record in silva;Pseudomonas allokribbensis;;
Pseudomonas alvandae;No record in silva;Pseudomonas alvandae;;
Pseudomonas anuradhapurensis;new sp  (2022) taxonomic name not formally assigned;Pseudomonas anuradhapurensis;Pseudomonas sp. RD8MR3;
Pseudomonas asgharzadehiana;No record in silva;Pseudomonas asgharzadehiana;;
Pseudomonas asiatica;No record in silva;Pseudomonas asiatica;;
Pseudomonas atacamensis;No record in silva;Pseudomonas atacamensis;;
Pseudomonas azerbaijanorientalis;No record in silva;Pseudomonas azerbaijanorientalis;;
Pseudomonas bijieensis;No record in silva;Pseudomonas bijieensis;;
Pseudomonas chloritidismutans;Both basionym and contain more info;Stutzerimonas chloritidismutans;Pseudomonas chloritidismutans AW-1;
Pseudomonas eucalypticola;No record in silva;Pseudomonas eucalypticola;;
Pseudomonas fakonensis;No record in silva;Pseudomonas fakonensis;;
Pseudomonas glycinae;new sp  (2021) taxonomic name not formally assigned;Pseudomonas glycinae;Pseudomonas sp. MS586;
Pseudomonas gozinkensis;No record in silva;Pseudomonas gozinkensis;;
Pseudomonas hamedanensis;No record in silva;Pseudomonas hamedanensis;;
Pseudomonas iranensis;No record in silva;Pseudomonas iranensis;;
Pseudomonas maumuensis;No record in silva;Pseudomonas maumuensis;;
Pseudomonas monsensis;No record in silva;Pseudomonas monsensis;;
Pseudomonas multiresinivorans;No record in silva;Pseudomonas multiresinivorans;;
Pseudomonas muyukensis;No record in silva;Pseudomonas muyukensis;;
Pseudomonas ogarae;No record in silva;Pseudomonas ogarae;;
Pseudomonas promysalinigenes;new sp  (2022) taxonomic name not formally assigned;Pseudomonas promysalinigenes;Pseudomonas sp. RW10S1;
Pseudomonas pseudoalcaligenes;Both synonym and contain more info;Ectopseudomonas oleovorans;Pseudomonas pseudoalcaligenes KF707 = NBRC 110670;
;;;Pseudomonas pseudoalcaligenes CECT 5344;
;;;Pseudomonas pseudoalcaligenes AD6;
;;;Pseudomonas oleovorans;
;;;Pseudomonas oleovorans subsp. lubricantis;
;;;Pseudomonas oleovorans MOIL14HWK12;
Pseudomonas qingdaonensis;new sp  (2019) taxonomic name not formally assigned;Pseudomonas qingdaonensis;Pseudomonas sp. JJ3;
Pseudomonas sediminis;new sp  (2018) taxonomic name not formally assigned;Pseudomonas sediminis;Pseudomonas sp. PI11;
Pseudomonas sessilinigenes;new sp  (2022) taxonomic name not formally assigned;Pseudomonas sessilinigenes;Pseudomonas sp. CMR12a;
Pseudomonas shahriarae;No record in silva;Pseudomonas shahriarae;;
Pseudomonas shirazica;No record in silva;Pseudomonas shirazica;;
Pseudomonas tensinigenes;No record in silva;Pseudomonas tensinigenes;;
Pseudomonas tritici;No record in silva;Pseudomonas tritici;;
Pseudomonas vanderleydeniana;No record in silva;Pseudomonas vanderleydeniana;;
Pseudomonas viciae;No record in silva;Pseudomonas viciae;;
Pseudomonas xantholysinigenes;No record in silva;Pseudomonas xantholysinigenes;;
Pseudomonas zeae;No record in silva;Pseudomonas zeae;;
Rhodococcoides fascians;Synonym & new sp;Rhodococcoides fascians;Rhodococcus fascians;
;;;Rhodococcus sp. PBTS 2;
;;;Rhodococcus sp. PBTS 2;
Prescottella equi;Both synonym and contain more info;Prescottella equi;Rhodococcus equi ATCC 33707;
;;;Rhodococcus equi NBRC 101255 = C 7;
Rickettsiales bacterium;;Rickettsiales bacterium;Rickettsiales bacterium;
Ruminococcus gnavus;Both basionym and contain more info;Mediterraneibacter gnavus;Ruminococcus gnavus AGR2154;
;;;Ruminococcus gnavus CC55_001C;
Shewanella piezotolerans;Contain more info;Shewanella piezotolerans;Shewanella piezotolerans WP3;
Sinorhizobium medicae;Both synonym and contain more info and include;Sinorhizobium medicae;Sinorhizobium medicae WSM419;
;;;Sinorhizobium medicae WSM244;
;;;Sinorhizobium medicae WSM1115;
;;;Sinorhizobium medicae WSM1369;
;;;Sinorhizobium medicae DI28;
;;;Ensifer medicae;
;;;Sinorhizobium meliloti WSM4191;
Sneathia vaginalis;Synonym;Sneathia vaginalis;Sneathia amnii;
Sphingomonas aliaeris;No record in silva;Sphingomonas aliaeris;;
Sphingomonas ginsengisoli;Contain more info;Sphingomonas ginsengisoli (ex Hoang et al. 2012);;
;;Sphingomonas ginsengisoli An et al. 2013;Sphingomonas ginsengisoli An et al. 2013;
Sphingomonas lacunae;No record in silva;Sphingomonas lacunae;;
Sphingomonas panacisoli;new sp  (2021) taxonomic name not formally assigned;Sphingomonas panacisoli;Sphingomonas sp. HKS19;
Sphingomonas piscis;No record in silva;Sphingomonas piscis;;
Sphingomonas sabuli;No record in silva;Sphingomonas sabuli;;
Sphingomonas sinipercae;No record in silva;Sphingomonas sinipercae;;
Spirillum minus;No record in silva or ncbi for this sp;;;
Streptococcus gwangjuense;new sp  (2019) taxonomic name not formally assigned;Streptococcus gwangjuense;Streptococcus sp. ChDC B345;
Streptococcus intermedius;Contain more info;Streptococcus intermedius;Streptococcus intermedius B196;
;;;Streptococcus intermedius C270;
;;;Streptococcus intermedius F0413;
;;;Streptococcus intermedius F0395;
;;;Streptococcus intermedius SK54;
;;;Streptococcus intermedius BA1;
;;;Streptococcus intermedius ATCC 27335;
;;;Streptococcus intermedius JTH08;
Streptococcus macedonicus;Synonym and contain more info;Streptococcus macedonicus;Streptococcus macedonicus ACA-DC 198;
;;;Streptococcus gallolyticus subsp. macedonicus;
Streptococcus pasteurianus;Synonym and contain more info;Streptococcus pasteurianus;Streptococcus pasteurianus ATCC 43144;
;;;Streptococcus gallolyticus subsp. pasteurianus;
Streptococcus thermophilus;Synonym and contain more info;Streptococcus thermophilus;Streptococcus thermophilus ND03;
;;;Streptococcus salivarius subsp. thermophilus;
Streptomyces albireticuli;No record in silva;Streptomyces albireticuli;;
Streptomyces coelicolor;No record in silva;Streptomyces coelicolor;;
Streptomyces pratensis ATCC 33331;no reason;Streptomyces pratensis ATCC 33331;Streptomyces pratensis ATCC 33331;Can not find reason why it is not found in the first place
Streptomyces sampsonii;No record in silva;Streptomyces sampsonii;;
Treponema succinifaciens;Contain more info;Treponema succinifaciens;Treponema succinifaciens DSM 2489;
Vibrio anguillarum;Both synonym and contain more info;Vibrio anguillarum;Vibrio anguillarum M3;
;;;Listonella anguillarum;
;;;Vibrio anguillarum 775;
;;;Vibrio anguillarum serovar O1;
;;;Vibrio anguillarum serovar O2a;